==================================================
CURRENT SETTINGS:
S0 = 90
S1 = 0
Part Offset (0,0,0)


CHANGE SETTINGS:
[1] Change Servo Rotations and Part Offset
[2] Other Settings
[3] No Changes

Choice: 

Enter input filename: Enter output filename: Rot X, Y: 0,-0
Doing the matrix math.
      0       0       0
      0       0    0.25
 13.196       0    0.25
 13.196       0    0.25
 13.196      10    0.25
 12.803  11.537    0.25
 11.718  12.695    0.25
     10  13.196    0.25
    -10  13.196    0.25
-11.537  12.803    0.25
-12.695  11.718    0.25
-13.196      10    0.25
-13.196     -10    0.25
-12.803 -11.537    0.25
-11.718 -12.695    0.25
    -10 -13.196    0.25
     10 -13.196    0.25
 11.537 -12.803    0.25
 12.695 -11.718    0.25
 13.196     -10    0.25
 13.196  -0.075    0.25
 13.196  -0.075    0.25
  9.679  -9.679    0.25
  9.679  -9.679    0.25
  9.679   9.679    0.25
 -9.679   9.679    0.25
 -9.679  -9.679    0.25
  9.604  -9.679    0.25
  9.875  -9.875    0.25
  9.875   9.875    0.25
 -9.875   9.875    0.25
 -9.875  -9.875    0.25
    9.8  -9.875    0.25
  9.625  -9.442    0.25
  9.564   -9.44    0.25
   9.44  -9.564    0.25
  9.161  -9.564    0.25
  9.564  -9.161    0.25
  9.564  -8.881    0.25
  8.881  -9.564    0.25
  8.602  -9.564    0.25
  9.564  -8.602    0.25
  9.564  -8.322    0.25
  8.322  -9.564    0.25
  8.043  -9.564    0.25
  9.564  -8.043    0.25
  9.564  -7.763    0.25
  7.763  -9.564    0.25
  7.484  -9.564    0.25
  9.564  -7.484    0.25
  9.564  -7.205    0.25
  7.205  -9.564    0.25
  6.925  -9.564    0.25
  9.564  -6.925    0.25
  9.564  -6.646    0.25
  6.646  -9.564    0.25
  6.366  -9.564    0.25
  9.564  -6.366    0.25
  9.564  -6.087    0.25
  6.087  -9.564    0.25
  5.807  -9.564    0.25
  9.564  -5.807    0.25
  9.564  -5.528    0.25
  5.528  -9.564    0.25
  5.248  -9.564    0.25
  9.564  -5.248    0.25
  9.564  -4.969    0.25
  4.969  -9.564    0.25
  4.689  -9.564    0.25
  9.564  -4.689    0.25
  9.564   -4.41    0.25
   4.41  -9.564    0.25
   4.13  -9.564    0.25
  9.564   -4.13    0.25
  9.564  -3.851    0.25
  3.851  -9.564    0.25
  3.571  -9.564    0.25
  9.564  -3.571    0.25
  9.564  -3.292    0.25
  3.292  -9.564    0.25
  3.012  -9.564    0.25
  9.564  -3.012    0.25
  9.564  -2.733    0.25
  2.733  -9.564    0.25
  2.454  -9.564    0.25
  9.564  -2.454    0.25
  9.564  -2.174    0.25
  2.174  -9.564    0.25
  1.895  -9.564    0.25
  9.564  -1.895    0.25
  9.564  -1.615    0.25
  1.615  -9.564    0.25
  1.336  -9.564    0.25
  9.564  -1.336    0.25
  9.564  -1.056    0.25
  1.056  -9.564    0.25
  0.777  -9.564    0.25
  9.564  -0.777    0.25
  9.564  -0.497    0.25
  0.497  -9.564    0.25
  0.218  -9.564    0.25
  9.564  -0.218    0.25
  9.564   0.062    0.25
 -0.062  -9.564    0.25
 -0.341  -9.564    0.25
  9.564   0.341    0.25
  9.564   0.621    0.25
 -0.621  -9.564    0.25
   -0.9  -9.564    0.25
  9.564     0.9    0.25
  9.564    1.18    0.25
  -1.18  -9.564    0.25
 -1.459  -9.564    0.25
  9.564   1.459    0.25
  9.564   1.738    0.25
 -1.739  -9.564    0.25
 -2.018  -9.564    0.25
  9.564   2.018    0.25
  9.564   2.297    0.25
 -2.297  -9.564    0.25
 -2.577  -9.564    0.25
  9.564   2.577    0.25
  9.564   2.856    0.25
 -2.856  -9.564    0.25
 -3.136  -9.564    0.25
  9.564   3.136    0.25
  9.564   3.415    0.25
 -3.415  -9.564    0.25
 -3.695  -9.564    0.25
  9.564   3.695    0.25
  9.564   3.974    0.25
 -3.974  -9.564    0.25
 -4.254  -9.564    0.25
  9.564   4.254    0.25
  9.564   4.533    0.25
 -4.533  -9.564    0.25
 -4.813  -9.564    0.25
  9.564   4.813    0.25
  9.564   5.092    0.25
 -5.092  -9.564    0.25
 -5.372  -9.564    0.25
  9.564   5.372    0.25
  9.564   5.651    0.25
 -5.651  -9.564    0.25
 -5.931  -9.564    0.25
  9.564   5.931    0.25
  9.564    6.21    0.25
  -6.21  -9.564    0.25
 -6.489  -9.564    0.25
  9.564   6.489    0.25
  9.564   6.769    0.25
 -6.769  -9.564    0.25
 -7.048  -9.564    0.25
  9.564   7.048    0.25
  9.564   7.328    0.25
 -7.328  -9.564    0.25
 -7.607  -9.564    0.25
  9.564   7.607    0.25
  9.564   7.887    0.25
 -7.887  -9.564    0.25
 -8.166  -9.564    0.25
  9.564   8.166    0.25
  9.564   8.446    0.25
 -8.446  -9.564    0.25
 -8.725  -9.564    0.25
  9.564   8.725    0.25
  9.564   9.005    0.25
 -9.005  -9.564    0.25
 -9.284  -9.564    0.25
  9.564   9.284    0.25
  9.544   9.544    0.25
 -9.544  -9.544    0.25
 -9.564  -9.284    0.25
  9.284   9.564    0.25
  9.005   9.564    0.25
 -9.564  -9.005    0.25
 -9.564  -8.725    0.25
  8.725   9.564    0.25
  8.446   9.564    0.25
 -9.564  -8.446    0.25
 -9.564  -8.166    0.25
  8.166   9.564    0.25
  7.887   9.564    0.25
 -9.564  -7.887    0.25
 -9.564  -7.607    0.25
  7.607   9.564    0.25
  7.328   9.564    0.25
 -9.564  -7.328    0.25
 -9.564  -7.048    0.25
  7.048   9.564    0.25
  6.769   9.564    0.25
 -9.564  -6.769    0.25
 -9.564  -6.489    0.25
  6.489   9.564    0.25
   6.21   9.564    0.25
 -9.564   -6.21    0.25
 -9.564   -5.93    0.25
   5.93   9.564    0.25
  5.651   9.564    0.25
 -9.564  -5.651    0.25
 -9.564  -5.372    0.25
  5.372   9.564    0.25
  5.092   9.564    0.25
 -9.564  -5.092    0.25
 -9.564  -4.813    0.25
  4.813   9.564    0.25
  4.533   9.564    0.25
 -9.564  -4.533    0.25
 -9.564  -4.254    0.25
  4.254   9.564    0.25
  3.974   9.564    0.25
 -9.564  -3.974    0.25
 -9.564  -3.695    0.25
  3.695   9.564    0.25
  3.415   9.564    0.25
 -9.564  -3.415    0.25
 -9.564  -3.136    0.25
  3.136   9.564    0.25
  2.856   9.564    0.25
 -9.564  -2.856    0.25
 -9.564  -2.577    0.25
  2.577   9.564    0.25
  2.297   9.564    0.25
 -9.564  -2.297    0.25
 -9.564  -2.018    0.25
  2.018   9.564    0.25
  1.738   9.564    0.25
 -9.564  -1.738    0.25
 -9.564  -1.459    0.25
  1.459   9.564    0.25
  1.179   9.564    0.25
 -9.564  -1.179    0.25
 -9.564    -0.9    0.25
    0.9   9.564    0.25
  0.621   9.564    0.25
 -9.564  -0.621    0.25
 -9.564  -0.341    0.25
  0.341   9.564    0.25
  0.062   9.564    0.25
